#{"t_start": 1702104075.460168, "env_id": "None"}
r,l,t
2060.0,95,93.982634
2280.0,125,94.007501
2150.0,30,94.022459
2040.0,29,94.039701
2350.0,66,94.060068
3150.0,85,94.081761
2200.0,63,94.100273
1100.0,28,94.115023
2140.0,45,94.132936
3480.0,72,94.404539
1040.0,116,94.430713
3510.0,131,94.457175
3310.0,105,94.48051
3360.0,58,94.4989
4760.0,129,94.524543
5060.0,175,94.554769
1100.0,90,94.57665
1950.0,20,94.594969
1170.0,33,94.618606
3430.0,129,94.647176
820.0,92,94.673542
1060.0,50,94.693383
2010.0,112,94.720459
3750.0,139,94.749268
3280.0,76,94.771648
960.0,36,94.789088
2260.0,53,94.810154
5970.0,179,94.842812
3270.0,75,94.866368
3460.0,90,94.889631
2030.0,130,95.183345
1100.0,66,95.208288
1160.0,120,95.233847
1160.0,38,95.252699
2470.0,150,95.28494
3370.0,157,95.317057
2580.0,117,95.347197
2060.0,99,95.371237
2000.0,21,95.386609
3500.0,104,95.413529
2320.0,85,95.437365
2280.0,91,95.462011
5740.0,142,95.490749
2110.0,40,95.508599
2050.0,64,95.527732
3390.0,111,95.551314
3720.0,144,95.578087
3320.0,104,95.601259
6030.0,195,95.634378
3090.0,37,95.652426
2490.0,98,95.67753
2040.0,57,95.947769
4720.0,129,95.975514
5200.0,337,96.022076
1050.0,79,96.042693
1030.0,63,96.061282
2160.0,35,96.078319
2300.0,81,96.099397
2260.0,69,96.118633
1260.0,82,96.140097
3220.0,72,96.159801
2050.0,40,96.176848
4380.0,129,96.205386
6070.0,205,96.239244
2130.0,30,96.256004
1230.0,57,96.27605
1980.0,41,96.293403
2190.0,60,96.314601
4480.0,93,96.336314
2180.0,147,96.364051
1130.0,85,96.385022
2120.0,53,96.402985
5860.0,222,96.692126
3380.0,106,96.717764
3710.0,199,96.750918
2070.0,90,96.772937
2420.0,75,96.793227
2340.0,77,96.814586
2080.0,23,96.829041
2240.0,93,96.855368
3620.0,110,96.879929
2100.0,41,96.897956
4490.0,86,96.922705
2050.0,118,96.948164
5770.0,183,96.981325
3590.0,159,97.01198
2370.0,70,97.032654
4860.0,195,97.065348
3640.0,128,97.091072
2110.0,32,97.106906
2170.0,88,97.12947
2200.0,39,97.146575
3650.0,141,97.42918
2020.0,23,97.446315
3380.0,132,97.47587
1120.0,60,97.494796
3340.0,84,97.519483
3300.0,174,97.551456
960.0,50,97.569124
3590.0,103,97.596787
2410.0,138,97.623857
2250.0,72,97.643792
3460.0,94,97.665785
3660.0,134,97.692051
1130.0,67,97.711545
3380.0,78,97.732779
3740.0,188,97.764245
3520.0,120,97.788774
3570.0,93,97.813687
1110.0,39,97.833148
2080.0,189,97.869171
1220.0,52,97.890337
6680.0,153,98.214333
1230.0,65,98.238365
3550.0,163,98.272036
970.0,53,98.294491
1020.0,94,98.317473
2060.0,63,98.336879
3490.0,135,98.363574
3420.0,80,98.384224
1080.0,132,98.410078
3750.0,217,98.444692
5650.0,241,98.481998
2270.0,84,98.503125
4440.0,137,98.529618
2330.0,84,98.556821
970.0,57,98.578508
4290.0,114,98.607029
1920.0,57,98.629126
2010.0,42,98.649873
5860.0,152,98.953407
3270.0,91,98.981146
1170.0,45,99.002016
4160.0,45,99.022503
2170.0,38,99.043562
1110.0,63,99.065668
4730.0,132,99.093841
3910.0,123,99.124359
2120.0,65,99.145837
2120.0,59,99.1658
2090.0,40,99.182359
2020.0,65,99.202125
780.0,50,99.219792
3340.0,62,99.239327
3050.0,147,99.267785
4460.0,93,99.289612
4570.0,176,99.320951
4630.0,206,99.361891
2080.0,81,99.385341
2100.0,49,99.406358
5760.0,188,99.441372
3320.0,80,99.46804
3600.0,106,99.495248
2140.0,29,99.513952
3360.0,78,99.803312
8280.0,184,99.837013
990.0,41,99.854002
2410.0,96,99.876372
2670.0,114,99.900782
2250.0,38,99.917039
3280.0,50,99.934368
-290.0,22,99.949904
3250.0,179,99.985108
2190.0,52,100.002972
1050.0,93,100.025891
1240.0,86,100.047029
9610.0,238,100.085303
1000.0,56,100.103695
3330.0,67,100.123192
3300.0,92,100.145048
3540.0,132,100.170688
2290.0,56,100.188935
2290.0,68,100.209693
2060.0,53,100.228262
2490.0,220,100.263492
2020.0,39,100.279672
2100.0,25,100.552278
3410.0,99,100.577046
1120.0,36,100.595334
5970.0,219,100.630228
7220.0,277,100.672867
2000.0,47,100.689824
3540.0,106,100.714313
2240.0,57,100.732317
1160.0,38,100.74835
3360.0,114,100.777296
3440.0,92,100.799849
2220.0,61,100.823291
2100.0,43,100.840563
2280.0,61,100.859716
5890.0,161,100.889503
3510.0,119,100.913923
930.0,65,100.933023
2140.0,47,100.949817
4550.0,112,100.973329
1980.0,39,100.989385
4230.0,148,101.018806
3940.0,132,101.297408
1130.0,37,101.315963
2310.0,76,101.337369
3380.0,132,101.366556
2170.0,32,101.381958
3530.0,213,101.417046
2390.0,80,101.437638
1150.0,47,101.455666
1130.0,27,101.471861
2050.0,82,101.495592
2280.0,47,101.512395
2190.0,48,101.531945
2110.0,94,101.5556
7110.0,218,101.591008
6980.0,191,101.623524
1250.0,45,101.640276
2110.0,56,101.659785
3110.0,39,101.677493
4690.0,122,101.704288
6410.0,289,101.746019
2170.0,64,101.76491
3960.0,152,102.054401
1180.0,76,102.077424
5600.0,106,102.102685
2110.0,48,102.122396
2120.0,91,102.15267
2440.0,103,102.179586
2060.0,49,102.200495
2270.0,80,102.223926
2590.0,104,102.247011
2010.0,44,102.263337
5790.0,155,102.294378
2090.0,34,102.311304
3430.0,117,102.336832
3150.0,81,102.357305
1170.0,43,102.373746
5950.0,177,102.404965
6570.0,277,102.445867
5650.0,151,102.473706
2120.0,25,102.488492
2410.0,84,102.517767
2450.0,112,102.543338
2370.0,168,102.827756
3450.0,127,102.855711
8920.0,169,102.885643
2210.0,48,102.90305
1030.0,187,102.935131
2160.0,41,102.951564
3640.0,100,102.976909
1150.0,33,102.992564
4740.0,171,103.025846
3030.0,27,103.040776
3670.0,123,103.066535
4530.0,138,103.092906
4880.0,191,103.124726
5710.0,225,103.159902
6730.0,140,103.189555
5130.0,250,103.488487
2080.0,37,103.507245
4610.0,148,103.538618
3210.0,85,103.566174
2290.0,66,103.591798
2180.0,67,103.616508
2290.0,116,103.644266
2100.0,31,103.663537
4380.0,151,103.69537
2110.0,44,103.715411
3090.0,69,103.741972
4770.0,216,103.782578
5690.0,151,103.815017
2030.0,60,103.836742
4350.0,110,103.863223
2410.0,82,103.885546
4540.0,101,103.909256
4760.0,173,103.940268
3400.0,140,103.968009
3160.0,52,103.985965
4360.0,87,104.277869
2250.0,54,104.299216
6760.0,119,104.328819
1020.0,154,104.360033
2260.0,109,104.388308
4330.0,150,104.419604
2420.0,153,104.456806
4030.0,197,104.497407
5510.0,131,104.528357
2200.0,85,104.553821
3130.0,77,104.577422
2170.0,82,104.601956
2200.0,55,104.623216
3360.0,94,104.648086
3870.0,217,104.688157
3410.0,95,104.714009
1940.0,7,104.729876
7100.0,269,105.038776
2330.0,80,105.062136
940.0,62,105.081561
2280.0,73,105.102787
4760.0,187,105.136779
3250.0,77,105.16079
1240.0,64,105.185194
2310.0,74,105.209133
4560.0,145,105.240183
2520.0,87,105.263968
2460.0,89,105.286092
1180.0,66,105.3061
3700.0,146,105.334968
1120.0,50,105.354869
3160.0,42,105.374195
2340.0,65,105.394315
3680.0,122,105.422062
3380.0,116,105.447291
2210.0,154,105.476747
2190.0,46,105.493945
1060.0,26,105.511395
2030.0,30,105.531401
5210.0,61,105.552265
2010.0,42,105.571511
2170.0,64,105.594851
4850.0,144,105.888411
2280.0,95,105.91371
3550.0,145,105.945747
9110.0,264,105.994534
2180.0,55,106.017819
6430.0,251,106.061796
8780.0,248,106.105615
1150.0,49,106.128427
2170.0,72,106.152717
2080.0,27,106.17087
2270.0,58,106.193936
2200.0,41,106.212663
3750.0,167,106.247997
5190.0,190,106.287012
4720.0,119,106.313447
4260.0,85,106.335562
2250.0,88,106.358313
1250.0,47,106.645068
1140.0,50,106.66713
2050.0,134,106.700308
2190.0,36,106.721276
3190.0,45,106.747295
4390.0,102,106.774609
2210.0,68,106.797014
3080.0,38,106.816636
1210.0,49,106.835549
3280.0,106,106.862766
2120.0,33,106.879571
4940.0,149,106.909686
4260.0,111,106.934241
4430.0,120,106.959755
4540.0,133,106.986615
2080.0,25,107.001549
4720.0,175,107.035405
2340.0,67,107.056289
6110.0,323,107.106653
2070.0,46,107.127362
3640.0,146,107.160493
4430.0,70,107.440674
5710.0,149,107.470743
4780.0,189,107.502983
3300.0,100,107.525674
4800.0,143,107.552853
4670.0,170,107.582647
5640.0,104,107.606366
2250.0,58,107.626239
5800.0,150,107.658874
2290.0,74,107.681078
4960.0,151,107.710908
3360.0,120,107.736294
2510.0,128,107.761919
4800.0,153,107.791688
1050.0,35,107.807949
3580.0,190,107.840434
9490.0,252,108.135098
4750.0,180,108.169098
2140.0,61,108.188396
2010.0,22,108.204712
1950.0,52,108.226684
1980.0,47,108.244733
1170.0,79,108.267601
1110.0,35,108.283688
2430.0,112,108.307387
4560.0,209,108.341269
2070.0,26,108.356375
1140.0,100,108.380362
2170.0,66,108.399328
2120.0,35,108.41504
1030.0,63,108.4353
1080.0,38,108.452101
1110.0,87,108.47919
3830.0,177,108.513516
2200.0,47,108.531949
4320.0,77,108.554178
4820.0,189,108.587188
3290.0,67,108.606935
2460.0,109,108.630812
2440.0,103,108.909618
5710.0,151,108.940149
4540.0,101,108.963259
2640.0,123,108.988614
3580.0,226,109.026369
1190.0,35,109.043004
3690.0,163,109.075845
4750.0,168,109.105621
1170.0,35,109.121749
7080.0,195,109.157906
1000.0,114,109.182759
4780.0,165,109.212288
5360.0,98,109.234796
2100.0,25,109.249808
3600.0,152,109.281825
3560.0,86,109.302927
3830.0,107,109.326265
6850.0,160,109.627268
4680.0,137,109.659932
3650.0,131,109.69044
3450.0,119,109.719426
1020.0,36,109.736808
3580.0,150,109.766727
2230.0,52,109.786434
3420.0,60,109.805895
3170.0,47,109.823273
4520.0,93,109.845664
2250.0,84,109.867911
2170.0,54,109.885661
5590.0,123,109.913358
2360.0,71,109.932801
2180.0,31,109.948196
4140.0,71,109.969274
4890.0,158,109.999388
2120.0,35,110.016218
3670.0,105,110.040099
3160.0,60,110.060746
2110.0,32,110.081037
2580.0,109,110.108554
4370.0,94,110.136381
4920.0,203,110.431453
3420.0,104,110.457967
3340.0,70,110.480658
2000.0,31,110.504998
950.0,35,110.526246
4650.0,118,110.555896
1020.0,34,110.573627
990.0,33,110.591978
1150.0,39,110.610664
2070.0,62,110.630225
3440.0,126,110.656607
2370.0,76,110.677032
3490.0,149,110.705651
2130.0,38,110.721982
3380.0,112,110.747542
3100.0,98,110.770206
2670.0,142,110.797854
1070.0,29,110.813344
1120.0,70,110.835351
4880.0,159,110.864439
4480.0,203,110.898204
2160.0,59,110.91736
4790.0,106,110.941575
1060.0,36,111.206081
2370.0,80,111.231066
3550.0,139,111.26136
1080.0,46,111.281704
3430.0,97,111.304761
2250.0,48,111.323095
3260.0,82,111.345219
3300.0,84,111.366438
2140.0,79,111.386887
4210.0,76,111.406872
1040.0,36,111.422947
2030.0,16,111.43864
4490.0,140,111.467887
3330.0,87,111.489921
2380.0,73,111.509734
6630.0,138,111.536915
2220.0,57,111.554816
3270.0,101,111.577858
2140.0,97,111.603674
3490.0,123,111.632342
3280.0,164,111.667492
1080.0,40,111.690732
1180.0,34,111.70906
1020.0,66,111.731814
1150.0,47,111.749842
1180.0,40,111.769036
3580.0,138,112.057062
4550.0,120,112.091861
2060.0,73,112.115935
4720.0,139,112.144789
4440.0,169,112.177265
3540.0,102,112.201407
1270.0,63,112.224357
2020.0,33,112.240092
2490.0,184,112.272825
1060.0,30,112.288136
2260.0,53,112.309372
2030.0,122,112.334819
1050.0,85,112.356014
2380.0,75,112.376484
3410.0,163,112.406808
1180.0,38,112.42317
3380.0,112,112.449529
5670.0,111,112.473768
3290.0,95,112.496564
1030.0,47,112.513905
6000.0,168,112.800152
6680.0,185,112.833681
3440.0,94,112.856733
1160.0,42,112.873807
8300.0,280,112.915894
2400.0,105,112.939727
2130.0,54,112.957727
2330.0,62,112.977114
2320.0,65,112.996353
1970.0,24,113.013649
2710.0,182,113.047687
3830.0,131,113.073643
2440.0,117,113.097738
4640.0,193,113.129575
2170.0,44,113.146813
2160.0,49,113.166511
1160.0,36,113.203544
4220.0,85,113.238142
3100.0,28,113.260715
9660.0,297,113.564562
1180.0,50,113.592196
2030.0,38,113.616051
2170.0,60,113.642888
1190.0,53,113.66714
3200.0,90,113.695565
2160.0,33,113.716785
3390.0,87,113.746492
3140.0,62,113.77461
3600.0,94,113.804887
2190.0,56,113.832981
2000.0,31,113.857522
5060.0,143,113.900044
3680.0,138,113.940163
2230.0,58,113.966785
2100.0,103,113.996753
3510.0,99,114.028835
2240.0,121,114.062252
2520.0,91,114.09183
2080.0,45,114.116672
3210.0,115,114.147013
3990.0,205,114.188511
2210.0,42,114.212809
2130.0,62,114.241319
2050.0,20,114.262071
1140.0,52,114.288166
1130.0,49,114.569316
2450.0,78,114.605111
7680.0,134,114.639981
3370.0,141,114.674439
5040.0,189,114.714206
3340.0,58,114.740845
4990.0,176,114.780655
5890.0,153,114.819423
1080.0,30,114.856542
1150.0,75,114.882079
1170.0,39,114.901333
3310.0,89,114.925708
5060.0,165,114.959754
2350.0,84,114.989704
5140.0,189,115.024444
4460.0,123,115.051121
2040.0,87,115.073783
2200.0,53,115.092553
3700.0,100,115.118531
2130.0,44,115.138393
2290.0,62,115.426656
4920.0,143,115.458146
4650.0,152,115.48781
1020.0,60,115.507332
1030.0,69,115.527897
1060.0,62,115.548094
5400.0,197,115.582335
3220.0,70,115.603593
2120.0,79,115.625003
1910.0,16,115.639717
2170.0,62,115.661475
1100.0,70,115.682414
4440.0,93,115.704859
2030.0,44,115.722193
3750.0,121,115.749677
3310.0,123,115.775267
5430.0,155,115.804597
3240.0,64,115.824106
8480.0,344,115.874977
7390.0,232,116.171818
2390.0,132,116.20169
2100.0,105,116.225948
3330.0,115,116.251015
2210.0,140,116.278701
1060.0,74,116.299168
1940.0,15,116.313207
6720.0,139,116.343326
1200.0,58,116.362321
2080.0,31,116.381408
3090.0,49,116.401358
2140.0,49,116.419745
2140.0,51,116.438577
1040.0,92,116.46254
2210.0,80,116.484368
7010.0,222,116.520247
2140.0,73,116.540768
4580.0,149,116.568993
3350.0,109,116.594452
2390.0,68,116.614178
4370.0,122,116.639871
4610.0,92,116.914842
1050.0,37,116.933409
3350.0,121,116.960121
2130.0,44,116.977388
2210.0,36,116.995283
3260.0,86,117.016706
3380.0,128,117.042481
6090.0,165,117.0721
4730.0,174,117.102691
3710.0,153,117.132032
1080.0,46,117.149193
6750.0,230,117.185754
1030.0,55,117.205239
1240.0,66,117.226648
5650.0,119,117.252076
5710.0,145,117.280166
2220.0,75,117.300552
2320.0,75,117.320646
1010.0,65,117.340671
2130.0,52,117.358765
2060.0,47,117.375932
3060.0,58,117.394537
2340.0,85,117.670886
2220.0,117,117.697813
7140.0,181,117.729493
2230.0,38,117.746248
4770.0,146,117.77689
3750.0,177,117.807854
3550.0,105,117.83127
2560.0,91,117.853039
1110.0,49,117.872204
2090.0,48,117.89171
3430.0,141,117.922526
4460.0,115,117.947165
2070.0,42,117.963961
1050.0,51,117.983552
2310.0,64,118.00269
2430.0,64,118.023206
2080.0,73,118.04287
3190.0,47,118.060098
3200.0,52,118.078782
2250.0,46,118.09636
2170.0,80,118.120122
5010.0,158,118.150016
2200.0,53,118.168706
1190.0,43,118.188082
2280.0,101,118.472686
5920.0,190,118.50776
2250.0,132,118.534878
2200.0,87,118.557328
5970.0,171,118.587511
2190.0,72,118.607484
6010.0,151,118.635457
2330.0,86,118.657026
1170.0,47,118.674308
4670.0,134,118.700874
2120.0,37,118.717118
5920.0,218,118.755856
4670.0,156,118.784761
3440.0,100,118.80749
5960.0,204,118.841139
4960.0,163,118.871051
2550.0,80,119.146489
7090.0,190,119.181631
5900.0,176,119.212962
2430.0,80,119.233971
1970.0,64,119.25275
2250.0,40,119.27052
5290.0,244,119.308777
2120.0,79,119.329552
3660.0,160,119.361847
2140.0,31,119.378723
1050.0,39,119.399452
3560.0,138,119.426198
2700.0,127,119.451704
3180.0,64,119.470837
1140.0,42,119.48884
2120.0,35,119.507166
2120.0,55,119.526069
5950.0,199,119.560498
2310.0,60,119.581196
3230.0,69,119.602171
2290.0,62,119.622459
1170.0,41,119.896309
2060.0,31,119.914697
2030.0,56,119.936695
3440.0,142,119.964754
3270.0,109,119.989517
2040.0,65,120.009052
2260.0,131,120.035975
6130.0,189,120.068664
1990.0,22,120.083634
2540.0,101,120.111121
5790.0,149,120.139428
2730.0,116,120.164223
4310.0,104,120.190256
7170.0,218,120.2262
7430.0,218,120.261621
3310.0,89,120.283172
3500.0,74,120.303053
3360.0,136,120.329788
6910.0,182,120.61801
5460.0,114,120.645175
2090.0,48,120.663131
3410.0,61,120.683769
2040.0,31,120.699061
2400.0,151,120.727923
2230.0,138,120.755328
5060.0,165,120.784939
6350.0,281,120.829528
5770.0,143,120.857391
2040.0,17,120.871803
6020.0,242,120.913449
1100.0,78,120.93436
2040.0,53,120.952945
2670.0,94,120.976583
2080.0,29,120.991918
2230.0,84,121.017837
4580.0,127,121.043588
2340.0,55,121.061998
2230.0,54,121.334988
4960.0,135,121.364856
2060.0,61,121.38427
4610.0,142,121.41263
4590.0,114,121.436944
2400.0,69,121.456539
4340.0,107,121.480308
1250.0,67,121.501429
3280.0,102,121.525067
2330.0,148,121.556403
4440.0,151,121.585014
3580.0,110,121.609192
2080.0,37,121.626352
3530.0,181,121.660338
3230.0,171,121.690549
6060.0,158,121.719672
4910.0,258,121.759331
2280.0,51,122.029512
2590.0,84,122.053074
2150.0,36,122.069421
2070.0,48,122.088064
9140.0,201,122.124032
2050.0,56,122.142507
1100.0,36,122.159641
3130.0,39,122.179266
2250.0,74,122.201875
3390.0,115,122.226472
2500.0,111,122.25044
4510.0,140,122.27874
7460.0,269,122.320329
3990.0,133,122.347188
2040.0,43,122.364522
5520.0,100,122.389363
2530.0,114,122.413997
2150.0,28,122.429673
3610.0,111,122.457302
7150.0,226,122.492686
3880.0,164,122.773978
3320.0,90,122.798924
3630.0,125,122.824428
2660.0,161,122.853551
3280.0,86,122.874809
3460.0,154,122.902867
2100.0,51,122.920567
4400.0,147,122.948363
8340.0,204,122.981559
1010.0,33,122.997698
3490.0,95,123.022189
1150.0,49,123.03969
2050.0,26,123.056446
1040.0,50,123.075793
2420.0,75,123.096965
4630.0,162,123.131147
1100.0,54,123.150776
3520.0,124,123.180135
3790.0,109,123.204247
1090.0,31,123.220536
2440.0,73,123.243496
2310.0,108,123.517013
5040.0,173,123.550367
2250.0,44,123.567982
7030.0,150,123.603696
1960.0,67,123.62715
2200.0,87,123.651923
1130.0,39,123.668898
2170.0,44,123.688526
2270.0,96,123.712719
2190.0,66,123.732628
11630.0,372,123.784094
1040.0,48,123.80211
5870.0,107,123.8274
4480.0,115,123.851789
4090.0,215,123.886597
1970.0,40,123.903489
4590.0,116,123.928211
3820.0,144,123.955548
2150.0,74,124.226465
1120.0,72,124.249407
4550.0,112,124.273822
2360.0,99,124.296789
1220.0,62,124.315827
3690.0,153,124.344002
2400.0,117,124.368659
3160.0,72,124.388793
10810.0,269,124.430836
2200.0,87,124.452789
5600.0,94,124.474953
4110.0,193,124.507248
4570.0,192,124.539715
6180.0,192,124.571995
3380.0,142,124.599953
2260.0,101,124.62302
1180.0,48,124.640491
4670.0,136,124.921561
6230.0,213,124.95919
5810.0,117,124.985281
2420.0,57,125.00818
2120.0,41,125.029864
2200.0,45,125.049852
3650.0,93,125.072642
1970.0,52,125.091402
2120.0,31,125.107182
3330.0,69,125.12748
1190.0,105,125.150714
3210.0,39,125.167179
3330.0,99,125.192873
7990.0,364,125.24442
3560.0,98,125.267655
2030.0,26,125.282696
5100.0,221,125.318689
6800.0,169,125.350417
2060.0,25,125.367876
3130.0,49,125.389364
1120.0,100,125.664053
4210.0,80,125.687374
8200.0,204,125.721974
3180.0,88,125.743798
2010.0,22,125.758807
5850.0,123,125.787284
5810.0,197,125.819997
3630.0,127,125.845529
4720.0,125,125.870901
5840.0,178,125.901678
1070.0,25,125.916938
3460.0,92,125.943613
5040.0,135,125.96998
2160.0,31,125.98573
2080.0,47,126.004525
2360.0,77,126.027569
2340.0,65,126.046687
5570.0,123,126.073522
1100.0,30,126.089148
3840.0,180,126.122203
5780.0,168,126.3999
2130.0,74,126.422532
9520.0,315,126.468136
2420.0,85,126.490113
7150.0,250,126.52832
2100.0,53,126.546329
3330.0,139,126.575986
3700.0,146,126.605989
2400.0,81,126.627834
2220.0,37,126.644174
4440.0,113,126.674206
2350.0,60,126.694366
2330.0,72,126.714961
6180.0,270,126.755008
2010.0,32,126.771097
2700.0,139,126.801323
6050.0,171,127.079639
4760.0,157,127.110516
5980.0,162,127.140065
1070.0,29,127.155489
3360.0,68,127.178005
3320.0,100,127.201425
2440.0,83,127.222565
2060.0,29,127.239036
4630.0,130,127.267046
2000.0,45,127.284328
2450.0,68,127.306885
8000.0,269,127.346329
1210.0,47,127.363757
2130.0,56,127.38383
7310.0,180,127.415643
4640.0,97,127.438047
3450.0,77,127.458633
2310.0,52,127.476308
2170.0,44,127.494257
2180.0,41,127.512254
3200.0,44,127.529197
4390.0,64,127.549122
3430.0,121,127.821675
1110.0,43,127.841001
2070.0,106,127.865337
4570.0,144,127.892355
6010.0,171,127.922242
2230.0,110,127.945743
2060.0,39,127.962235
9810.0,244,127.99986
5680.0,188,128.031438
3170.0,75,128.051517
5970.0,155,128.081163
720.0,36,128.097146
2130.0,30,128.115412
1040.0,52,128.13341
2200.0,33,128.149232
3260.0,62,128.168177
7330.0,206,128.202838
2000.0,23,128.21768
2250.0,44,128.237947
2130.0,30,128.254731
6770.0,180,128.287288
8230.0,175,128.566586
1090.0,37,128.586237
2360.0,77,128.614582
6200.0,196,128.648029
2200.0,95,128.670593
2000.0,13,128.685625
2210.0,36,128.707766
4410.0,82,128.729183
5120.0,187,128.761563
1080.0,72,128.781553
910.0,73,128.801941
5600.0,162,128.83134
2460.0,99,128.853959
4630.0,196,128.886977
2240.0,53,128.905275
2040.0,21,128.921409
6370.0,233,128.962178
2260.0,55,128.980778
8020.0,318,129.279041
3320.0,58,129.300752
2080.0,51,129.319481
1190.0,35,129.335886
4360.0,109,129.360065
2100.0,49,129.377672
5530.0,113,129.401792
3290.0,119,129.426588
3530.0,145,129.454469
2430.0,72,129.474303
3350.0,99,129.497071
1060.0,26,129.512238
870.0,37,129.533343
5050.0,164,129.562652
2310.0,104,129.585899
2190.0,48,129.603368
3220.0,48,129.621461
2080.0,39,129.639126
1170.0,49,129.658367
4430.0,92,129.680328
5000.0,161,129.709274
4540.0,161,129.73853
5150.0,186,130.030638
3690.0,159,130.065233
5070.0,190,130.098213
3290.0,141,130.125683
15030.0,488,130.190451
5520.0,142,130.220801
4560.0,135,130.249975
4690.0,132,130.277436
2140.0,57,130.295983
6630.0,128,130.324955
4410.0,246,130.363903
2070.0,26,130.381334
2380.0,63,130.40393
1120.0,34,130.423506
4470.0,96,130.70083
2170.0,38,130.720062
2540.0,97,130.743803
3720.0,142,130.77162
1180.0,62,130.790884
4510.0,116,130.815355
2270.0,58,130.833896
2240.0,53,130.852676
3380.0,78,130.874557
4220.0,43,130.891804
3320.0,108,130.915895
2280.0,109,130.940151
3450.0,109,130.964303
2150.0,58,130.982978
2170.0,62,131.002915
3680.0,114,131.027463
2060.0,47,131.044809
4820.0,131,131.072058
3370.0,89,131.094187
4530.0,116,131.119052
2130.0,30,131.134586
3360.0,76,131.158846
2140.0,31,131.174775
1130.0,75,131.196184
5970.0,275,131.490419
2040.0,69,131.512544
5510.0,95,131.538218
4800.0,121,131.563294
3030.0,67,131.582638
4720.0,109,131.606474
2370.0,64,131.62577
1990.0,78,131.647677
4340.0,77,131.668971
4500.0,115,131.693388
7190.0,232,131.730119
3320.0,86,131.751996
4760.0,125,131.777463
2440.0,83,131.798605
1100.0,36,131.814768
3670.0,141,131.843618
4820.0,115,131.868336
6950.0,274,131.91
3510.0,167,132.195041
3430.0,71,132.218197
5840.0,178,132.249944
3670.0,141,132.277958
3210.0,77,132.298504
3600.0,94,132.320729
7850.0,169,132.356198
2100.0,67,132.376231
1200.0,52,132.395085
3520.0,110,132.419689
2440.0,159,132.44911
1120.0,42,132.46648
2060.0,23,132.481255
10190.0,201,132.516071
2010.0,42,132.533062
1200.0,38,132.549321
3560.0,92,132.571428
3520.0,118,132.600166
2100.0,31,132.616177
4340.0,91,132.638495
2230.0,46,132.655617
5490.0,109,132.680829
3390.0,69,132.954504
2240.0,59,132.976012
2240.0,97,133.001587
2310.0,92,133.029961
6920.0,123,133.060608
1130.0,33,133.08102
2170.0,60,133.103217
2160.0,63,133.125544
2180.0,67,133.149661
4530.0,104,133.17834
2040.0,33,133.197659
3740.0,214,133.236539
1060.0,32,133.255717
1080.0,70,133.278825
3240.0,108,133.305595
2180.0,79,133.329035
7970.0,149,133.362603
2090.0,62,133.387143
1190.0,61,133.408684
8310.0,225,133.450503
2040.0,41,133.472785
8510.0,323,133.801583
3630.0,95,133.827684
5920.0,150,133.857774
7180.0,241,133.897004
4790.0,164,133.928441
4610.0,118,133.954973
2630.0,98,133.980191
2540.0,113,134.006554
4380.0,109,134.031397
6030.0,157,134.06087
3490.0,93,134.08358
2310.0,56,134.102316
1110.0,55,134.123359
2340.0,77,134.144686
1030.0,35,134.161662
4540.0,95,134.186771
7180.0,163,134.217622
6820.0,219,134.513675
3320.0,66,134.537113
5650.0,115,134.563165
2120.0,45,134.585063
2190.0,38,134.603286
6740.0,137,134.631741
3420.0,82,134.653475
5770.0,175,134.684687
2250.0,50,134.702812
3430.0,65,134.723907
7290.0,160,134.753615
3510.0,95,134.777632
960.0,30,134.795783
3250.0,99,134.826066
4740.0,121,134.856795
3320.0,74,134.882242
2000.0,13,134.898926
8370.0,181,134.939535
2110.0,28,134.95897
1940.0,23,134.979398
3490.0,75,135.006141
4350.0,94,135.032171
5610.0,117,135.061231
1070.0,41,135.081098
6010.0,173,135.369902
2140.0,49,135.392192
3430.0,111,135.420143
2040.0,31,135.439274
3360.0,126,135.46913
2410.0,68,135.49257
3230.0,65,135.51603
2030.0,34,135.535663
2510.0,76,135.560395
4470.0,84,135.585587
7120.0,205,135.62457
2380.0,73,135.647415
3370.0,59,135.6677
2230.0,42,135.68739
2200.0,59,135.710489
4520.0,107,135.736779
2380.0,85,135.758886
3130.0,37,135.775939
5660.0,346,135.829194
2080.0,45,135.847783
4330.0,82,135.87144
7060.0,221,136.158359
3210.0,85,136.183046
1150.0,29,136.19956
3350.0,57,136.218974
4920.0,161,136.248579
1060.0,50,136.26684
4500.0,121,136.292164
3690.0,127,136.318803
2050.0,26,136.334889
3580.0,90,136.359561
4800.0,135,136.387846
2170.0,46,136.409466
4160.0,41,136.429196
2050.0,44,136.448559
3530.0,159,136.479718
2390.0,80,136.50226
2370.0,84,136.524716
4390.0,84,136.546866
1110.0,35,136.56298
3110.0,43,136.583877
3300.0,70,136.604469
3420.0,72,136.626826
1130.0,43,136.643589
6030.0,257,136.685974
4310.0,72,136.960689
2260.0,89,136.98517
3440.0,68,137.004905
2230.0,66,137.02761
4640.0,129,137.054793
2580.0,93,137.077822
1090.0,47,137.095359
3620.0,84,137.116874
3920.0,132,137.143435
4870.0,120,137.168373
3260.0,88,137.189947
7770.0,278,137.231514
1140.0,56,137.250353
2600.0,99,137.273264
2070.0,92,137.295409
2060.0,21,137.309652
4720.0,131,137.338646
1250.0,75,137.359088
2230.0,54,137.37724
1160.0,44,137.396515
2070.0,58,137.416505
