#{"t_start": 1702104075.460168, "env_id": "None"}
r,l,t
2210.0,588,16.395219
1840.0,205,16.43037
820.0,164,16.459215
970.0,325,16.504879
1030.0,97,16.526917
1000.0,110,16.550421
2220.0,103,16.572968
3100.0,218,16.607079
1130.0,611,16.686348
3000.0,114,16.711877
2270.0,126,16.993607
1020.0,60,17.013302
1060.0,90,17.036823
1010.0,153,17.064636
-340.0,83,17.084857
1080.0,72,17.103843
2120.0,1307,17.248626
800.0,182,17.279598
830.0,61,17.547692
810.0,29,17.563915
2080.0,87,17.589247
1010.0,69,17.608381
1180.0,340,17.654452
2050.0,238,17.690669
2160.0,205,17.723211
920.0,56,17.740603
870.0,383,17.791832
960.0,186,17.822537
1150.0,107,17.845139
1190.0,47,17.861777
1910.0,364,18.163286
2030.0,48,18.18194
1970.0,114,18.207125
870.0,117,18.23123
930.0,93,18.252565
1100.0,132,18.280964
940.0,84,18.30217
2090.0,56,18.320521
1140.0,108,18.344119
1100.0,42,18.360363
2070.0,96,18.38482
2330.0,138,18.410877
2110.0,302,18.453016
1940.0,123,18.477291
2180.0,309,18.519878
1030.0,97,18.541356
970.0,161,18.822137
1000.0,50,18.841111
930.0,81,18.861444
810.0,79,18.881309
1920.0,241,18.918429
1120.0,76,18.938346
850.0,185,18.971118
670.0,47,18.987478
900.0,150,19.014366
2180.0,997,19.126344
970.0,273,19.419187
2130.0,132,19.446246
920.0,136,19.472214
1040.0,278,19.512476
1090.0,87,19.533478
800.0,276,19.572822
970.0,205,19.60512
920.0,82,19.625144
1040.0,64,19.643474
1120.0,68,19.666828
930.0,111,19.691004
1140.0,76,19.71086
890.0,27,19.725153
850.0,201,19.760934
830.0,213,20.046634
2060.0,143,20.074355
1090.0,213,20.107632
1130.0,83,20.127935
1070.0,103,20.149862
1050.0,123,20.174047
2140.0,295,20.215388
880.0,236,20.251118
1060.0,38,20.266897
2020.0,561,20.33708
2470.0,446,20.652565
1150.0,197,20.689984
820.0,106,20.716942
2370.0,118,20.745072
880.0,64,20.766401
1100.0,40,20.78378
2020.0,93,20.806982
1930.0,126,20.833465
2070.0,98,20.859046
2450.0,480,20.924719
2150.0,132,20.955203
940.0,142,20.987014
1160.0,326,21.30459
2090.0,58,21.327419
1030.0,263,21.375392
860.0,40,21.397748
820.0,190,21.43465
1020.0,142,21.463432
1100.0,128,21.489443
900.0,92,21.51093
1030.0,139,21.536825
1100.0,118,21.560405
890.0,75,21.579505
1020.0,198,21.614115
2040.0,83,21.634057
950.0,49,21.650583
1170.0,43,21.666337
2610.0,298,21.961035
950.0,297,22.006775
1050.0,71,22.026177
2020.0,199,22.058997
2020.0,359,22.106742
1090.0,127,22.131294
930.0,249,22.168059
920.0,68,22.186629
3480.0,222,22.222014
2300.0,197,22.253632
2160.0,203,22.536645
880.0,104,22.560635
1040.0,74,22.579734
1010.0,245,22.618254
2530.0,282,22.658628
1100.0,202,22.691133
2020.0,441,22.751265
2100.0,213,22.785706
2000.0,157,22.813799
2140.0,107,22.83649
2090.0,130,22.861512
1010.0,35,22.876629
2220.0,417,23.189439
3200.0,244,23.229516
2070.0,138,23.255952
1050.0,149,23.28357
990.0,221,23.318035
1880.0,59,23.33593
1050.0,237,23.37407
1060.0,88,23.395374
1990.0,70,23.414304
2120.0,81,23.435503
2070.0,230,23.471408
1990.0,328,23.771875
1070.0,89,23.794959
1970.0,146,23.82201
2200.0,431,23.878592
2110.0,180,23.910201
950.0,229,23.946458
2220.0,115,23.979242
1990.0,82,24.003751
690.0,287,24.05041
880.0,172,24.085407
2350.0,88,24.109592
2090.0,136,24.407675
1980.0,347,24.462218
1150.0,143,24.491453
2170.0,120,24.518661
880.0,270,24.563776
2040.0,133,24.593639
2240.0,103,24.619616
1040.0,80,24.642328
2020.0,175,24.676332
1120.0,94,24.701926
2050.0,106,24.728171
-300.0,135,24.757508
1060.0,52,24.776265
980.0,84,24.798152
1980.0,109,24.821585
2090.0,424,25.154923
1070.0,33,25.173935
950.0,65,25.198872
3080.0,334,25.248125
2060.0,151,25.278303
1070.0,311,25.330972
1140.0,42,25.351753
2280.0,141,25.382599
1070.0,281,25.428468
2210.0,358,25.743693
2040.0,133,25.771894
2140.0,655,25.852202
1130.0,87,25.873436
2220.0,257,25.91602
1060.0,192,25.949054
1050.0,97,25.972108
2100.0,129,26.001367
810.0,47,26.021847
1050.0,85,26.046344
2010.0,292,26.09256
2160.0,359,26.410578
1100.0,238,26.451857
2060.0,181,26.485062
2300.0,205,26.519435
2300.0,117,26.544998
2380.0,197,26.578717
950.0,73,26.599457
980.0,42,26.616331
1010.0,115,26.64092
890.0,99,26.665438
2200.0,89,26.687468
2090.0,128,26.714203
1060.0,130,26.740371
2220.0,105,27.026403
2380.0,145,27.055369
1240.0,94,27.077234
1030.0,149,27.104304
2100.0,123,27.129068
1980.0,65,27.148684
1050.0,71,27.168288
2960.0,50,27.186234
910.0,115,27.211784
2070.0,32,27.227039
970.0,535,27.300146
920.0,178,27.338065
2120.0,99,27.364529
990.0,169,27.396274
1170.0,105,27.423951
2090.0,66,27.444007
1060.0,106,27.720971
1020.0,76,27.742678
2300.0,211,27.777366
2130.0,144,27.804082
1990.0,80,27.824305
980.0,76,27.844031
